State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon
TX,Houston,4835000-48201451902,4835000,48201451902,20,29.72245308,-95.59869775
TX,Brownsville,4810768-48061012607,4810768,48061012607,41.6,25.94745716,-97.43311231
TX,Houston,4835000-48201452500,4835000,48201452500,34.7,29.70903661,-95.60096142
TX,Frisco,4827684-48085030511,4827684,48085030511,25.3,33.13882329,-96.75902541
TX,San Antonio,4865000-48029191816,4865000,48029191816,26,29.61725523,-98.50190834
TX,McAllen,4845384-48215020701,4845384,48215020701,34.1,26.25671375,-98.25327992
TX,Austin,4805000-48453002105,4805000,48453002105,30.9,30.31491785,-97.70559144
TX,Amarillo,4803000-48375011600,4803000,48375011600,31.2,35.19644964,-101.8808502
TX,San Antonio,4865000-48029191202,4865000,48029191202,28.9,29.53265226,-98.50759283
TX,Laredo,4841464-48479001714,4841464,48479001714,28.6,27.5553007,-99.43778846
